,Key,Mean
265, shift,dịch chuyển
266, shortcut,phím tắt
267, signal,tín hiệu
268, simultaneously,một cách đồng thời
269, spellcheck,kiểm tra chính tả
270, status bar,thanh trạng thái
271, store,lưu trữ
272, supercomputer,siêu máy tính
273, synchronize,đồng bộ hóa
274, synchronous,đồng bộ
275, systems analysis,việc phân tích hệ thống
276, systems analyst,chuyên viên phân tích hệ thống
277, tag,một từ khóa hay một thuật ngữ nhằm chỉ một mẫu thông tin
278, tape,ghi băng
279, task manager,trình quản lý tác vụ
280, taskbar,thanh tác vụ (nơi chứa các biểu tượng của các chương trình đang chạy hiện thời)
281, technical,thuộc về kĩ thuật
282, technician,kỹ thuật viên
283, technology,công nghệ
284, text,văn bản
285, toggle,phím bập bênh (chuyển qua lại giữa hai chế độ hoặc hai trạng thái)
286, toolbar,thanh công cụ
287, transmit,truyền tín hiệu
288, tutorial,bài hướng dẫn
289, typeface,bộ phông chữ
290, undo,hủy thao tác trước đó
291, user interface,giao diện người dùng
292, verify,kiểm tra lại
293, wallpaper,hình nền màn hình
294,51% Attack, Một hình thức tấn công mạng lưới khi có một nhóm thợ đào kiểm soát 50% sức mạnh tính toán
295,AML (Anti Money Laundering)," Một khuôn khổ bao gồm các thủ tục pháp lý, luật và quy định để giảm thiểu và hạn chế dòng tiền được tạo ra từ các hoạt động bất hợp pháp."
296,AMM (Automated Market Maker), Công cụ đem lại thanh khoản tự động cho sàn giao dịch.
297,APR, Hay tỷ lệ phần trăm hàng năm là số tiền lãi bạn sẽ trả cho một khoản nợ chưa thanh toán mỗi năm.
298,APY," Được sử dụng cho lợi suất phần trăm hàng năm, là tỷ lệ kiếm được từ một khoản đầu tư trong một năm, có tính đến ảnh hưởng của lãi suất kép."
299,ASIC," Application Specific Integrated Circuit, chỉ vi mạch IC chuyên dụng trong điện tử học. Công cụ khai thác ASIC đề cập đến một thiết bị hoặc phần cứng được máy tính hóa sử dụng ASIC cho mục đích duy nhất là khai thác tiền điện tử."
300,ATH (All-Time-High), ATH là viết tắt của All-Time-High là mức giá cao nhất của một loại tiền điện tử
301,ATL (All-Time-Low)," Điểm thấp nhất (về giá, vốn hóa thị trường) mà một loại tiền điện tử từng có trong lịch sử."
302,Account," Tài khoản bạn đăng ký trên các sàn giao dịch, hay tài khoản mạng xã hội để bạn có thể theo dõi hoạt động tài chính của một số loại tài sản cụ thể."
303,Address," Nơi mà tiền điện tử có thể được gửi đến và gửi đi, dưới dạng một chuỗi các chữ cái và số."
304,Airdrop, Airdrop là một phần thưởng của dự án phân phối đến người dùng
305,Allocation," Việc phân bổ token hay vốn chủ sở hữu thông qua việc kiếm được, mua hoặc dành riêng cho nhà đầu tư, nhóm hoặc tổ chức. Các khoản phân bổ này có thể được thanh toán cùng một lúc vào một ngày nhất định hoặc các giai đoạn theo một lịch trình xác định trước."
306,Altcoi, Altcoin là tập hợp các loại tiền điện tử không phải Bitcoin.
307,Angel Investor, Một cá nhân cung cấp vốn cho một dự án kinh doanh mới hoặc các công ty khởi nghiệp.
308,Auction, Một sực kiện trực tiếp mà tại đó khách hàng đưa ra mức giá cạnh tranh về tài sản và dịch vụ. Tài sản hoặc dịch vụ sẽ được bán cho người đưa ra mức giá cao nhất
309,Audit, Công việc kiểm tra các lỗ hổng bảo mật của dự án crypto thông qua việc kiểm tra các đoạn mã (code) trong sản phẩm của dự án.
310,BEP-2, Một tiêu chuẩn của token trên Binance Chain.
311,BEP-20, Một tiêu chuẩn của token trên Binance Smart Chain.
312,BEP-721, Một tiêu chuẩn kỹ thuật xác định một bộ quy tắc để phát hành NFT trong hệ sinh thái Binance Smart Chain.
313,BEP-95, Một chế đốt BNB thời gian thực trên Binance Smart Chain.
314,Bags, Danh mục đầu tư tiền mã hóa của một người đang nắm giữ.
315,Bear Market," Thị trường giảm, trong đó giá các loại tiền điện tử giảm đột ngột và kéo dài liên tục."
316,Bitcoin Dominance, Tỷ lệ vốn hóa thị trường của Bitcoin so với các đồng tiền điện tử khác
317,Bollinger Bands, Chỉ báo phân tích kỹ thuật được cấu tạo bởi 2 đường trung bình động để đo sự biến đồng của thị trường.
318,Breakout, Hành động giá phá vỡ khỏi mô hình hoặc kháng cự
319,Bull Market," Thị trường tăng, trong đó giá các loại tiền điện tử tăng mạnh và kéo dài liên tục."
320,CEX (Centralized Exchange), Sàn giao dịch tập trung. Địa điểm trung gian hỗ trợ giao dịch tiền điện tử giữa người mua và người bán.
321,Call option, Quyền chọn mua. Một loại quyền chọn tăng giá trị khi cổ phiếu tăng giá. Chúng là loại quyền chọn nổi tiếng nhất và cho phép chủ sở hữu chốt giá để mua một cổ phiếu cụ thể vào một ngày cụ thể.
322,Candlestick, Một biểu đồ hình nến được các nhà giao dịch sử dụng để xác định chuyển động giá có thể có dựa trên các mẫu trong lịch sử.
323,Capital, Được định nghĩa là số tiền lớn bạn sẽ sử dụng để đầu tư.
324,Cloud Mining, Một cách kiếm tiền điện tử đơn giản bằng cách thuê sức mạnh tính toán từ các nguồn của bên thứ ba.
325,Coin," Một loại tiền điện tử được xây dựng dựa trên nền tảng của Blockchain riêng, hoạt động độc lập với nhau, bất kì ai cũng có thể tham gia vào mạng lưới của nó."
326,Cold wallet, Ví lạnh. Đây là ví tiền điện tử không được kết nối với internet hoặc bất kỳ mạng không an toàn nào khác khi không sử dụng.
327,Contract," Trong tiền điện tử, các hợp đồng thông minh thực thi các chức năng trên blockchain."
328,Cross-chain, Giải pháp cho phép chuyển giúp hai mạng blockchain riêng biệt có thể giao tiếp với nhau. Nói cách khác là nó cho phép tài sản có thể chuyển từ blockchain này sang một blockchain khác.
329,Crowdloan, Việc thực hiện các dự án mới để gây quỹ thông qua DOT hoặc KSM cho các vị trí trên mạng Kusama hoặc Polkadot.
330,Crypto Debit Card," Một loại thẻ ghi nợ cho phép người sở hữu nó trả tiền cho hàng hóa và dịch vụ bằng tiền điện tử như Bitcoin (BTC), Litecoin (LTC) và Ethereum (ETH)."
331,Cá voi," Những tổ chức hoặc cá nhân nắm giữ một lượng tài sản rất lớn ví dụ như BTC, ETH…"
332,DAO (Decentralized Autonomous Organization), Một hệ thống các quy tắc được mã hóa dành cho tổ chức phi tập trung.
333,DApp (Decentralized Application), Các ứng dụng chạy trên mạng ngang hàng thay vì một máy tính trung tâm. Điều này cho phép phần mềm chạy trên internet mà không bị kiểm soát bởi một thực thể duy nhất.
334,DC, Một chiến lượt chia nhỏ số tiền để đầu tư cố định và thường xuyên bất kể giá của tài sản.
335,DEX (Decentralized Exchange), Một sàn giao dịch phi tập trung. Người dùng có thể giao dịch trực tiếp từ ví của họ mà không phải nạp tiền vào sàn
336,DeF, Một hệ sinh thái bao gồm các ứng dụng phi tập trung được phát triển trên các mạng lưới blockchain khác nhau.
337,Double Spending, Một loại tiền điện tử nhất định có thể được chi tiêu gấp đôi. Thường là hệ quả của 51% attack hoặc race attack.
338,Downtrend, Thể hiện một xu hướng giảm giá của thị trường có thể trong ngắn hạn hoặc dài hạn.
339,E-Signature," Chữ ký điện tử là một thuật ngữ rộng cho bất kỳ loại chữ ký nào ở định dạng điện tử. Đề cập đến dữ liệu ở dạng điện tử được đính kèm với dữ liệu khác ở dạng điện tử và được người ký sử dụng để ký, được sử dụng trong giao dịch điện tử."
340,EMA (Exponential Moving Average), Một loại đường trung bình di chuyển mang lại nhiều trọng lượng hơn cho các mức giá gần đây trong tính toán. Điều này khiến nó phản ứng nhanh hơn với những thay đổi giá gần đây.
341,ERC-20, Một tiêu chuẩn token trên mạng lưới Ethereum được đề xuất lần đầu vào tháng 11/2015.
342,ERC-721, Một tiêu chuẩn kỹ thuật xác định một bộ quy tắc để phát hành NFT trong hệ sinh thái Ethereum.
343,EVM (Ethereum Virtual Machine)," Máy ảo Ethereum, giống như một bộ xử lý hoặc máy tính cho các nhà phát triển vay sức mạnh tính toán tích lũy của nó. Các nhà phát triển sử dụng tài nguyên này để tạo smart contract và dApp."
344,Elliott Wave," Một chỉ báo phân tích kỹ thuật, một công cụ đáng tin cậy cho các nhà quản lý danh mục đầu tư khác nhau và gợi ý rằng có thể dự đoán hợp lý các biến động giá tiền điện tử bằng cách nghiên cứu lịch sử giá khi thị trường di chuyển theo các mô hình giống như sóng do tâm lý nhà đầu tư thúc đẩy."
345,Exchange, Địa điểm cho phép khách hàng giao dịch tiền điện tử để lấy tiền fiat hoặc các loại tiền điện tử khác.
346,FOMO (Fear Of Missing Out), FOMO viết tắt của Fear Of Missing Out là một hiệu ứng tâm lý sợ bỏ lỡ một thứ gì đó.
347,"FUD (Fear, Uncertainty and Doubt)"," Một chiến lượt tuyên truyền trong marketing dùng để gieo rắc nỗi sợ hãi, bất an cho khách hàng, nhà đầu tư"
348,Fakeout," Một hành động giá phá vỡ khỏi mô hình, kháng cự, hỗ trợ sau đó nhanh chóng đảo chiều mà không tiếp tục xu hướng breakout trước đó."
349,Fan Token, Một loại tiền điện tử được phát hành bởi một câu lạc bộ thể thao cụ thể và cho phép người sở hữu nó tham gia vào các hoạt động quản lý và đạt được phần thưởng & chiết khấu độc quyền.
350,Fiat, Fiat là các loại tiền tệ được phát hành bởi ngân hàng trung ương.
351,Flash Loan (Khoản vay nhanh), Một giao dịch trong đó một lượng thanh khoản cụ thể được vay và hoàn trả trong cùng một giao dịch hoặc block.
352,Flash Loan Attack, Những cuộc tấn công lợi dụng hình thức cho vay nhanh (flash loan) và những lỗ hổng trong giao thức để trục lợi cho cá nhân.
353,Fork (Blockchain)," Các nhánh hoặc tách chuỗi, tạo ra một phiên bản thay thế của chuỗi khối, để hai chuỗi khối chạy đồng thời."
354,Futures Contract, Một thỏa thuận bên mua và bán về mức giá của một loại tài sản cụ thể trong tương lai.
355,GameFi," Sự kết hợp của DeFi, NFT và các game online dựa trên blockchain."
356,Gas, Cơ chế định giá được sử dụng trên chuỗi khối Ethereum để tính toán chi phí của các hoạt động hợp đồng thông minh và phí giao dịch.
357,Gems, Thuật ngữ để chỉ những đồng tiền vốn hóa thấp tương đối ít được biết đến nhưng có tiềm năng to lớn hoặc bị định giá quá thấp.
358,Genesis Block, Khối đầu tiên được ghi lại trên mạng lưới blockchain.
359,Golden Cross, Một tín hiệu tăng giá khi đường trung bình động ngắn hạn (MA50) vượt lên trên đường trung bình động dài hạn (MA200).
360,Google Authenticator, Hệ thống xác minh dựa trên phần mềm tạo mã một lần duy nhất dựa trên thời gian sử dụng trên điện thoại di động của bạn.
361,Governance Token, Một token có thể được sử dụng để bỏ phiếu cho các quyết định ảnh hưởng đến hệ sinh thái.
362,Gwei, Một đơn vị nhỏ nhất của Ether. Nó thường được dùng để đo lượng gas được sử dụng khi giao dịch. 1.000.000.000 wei = 1 Giga wei (Gwei)
363,HODL, Một hành động giữ tài sản tiền điện tử mà không bán. Đây là từ viết nhầm của từ “HOLD” có nguồn gốc từ Bitcointalk. Nhiều người còn cho rằng HODL là viết tắt của Hold On for Dear Life.
364,Halving, Sự kiện giảm 1/2 phần thưởng khối. Đây là một cơ chế làm giảm tỷ lệ phát hành ra coin mới
365,Hard Cap," Số tiền tối đa mà một dự án dự định huy động trong quá trình ICO, IEO,…"
366,Hash Rate, Đơn vị do lường tốc độ mà máy tính hoặc phần cứng khai thác có thể tính toán các hash mới
367,Hot Wallet," Một ví tiền điện tử được kết nối với internet để lưu trữ các loại tiền điện tử, trái ngược với một cold wallet ngoại tuyến."
368,ICO (Initial Coin Offering), Một hình thức gọi vốn của các dự án crypto. Dự án sẽ bán tiền điện tử của họ cho các nhà đầu tư
369,IEO (Initial Exchange Offering), Một hình thức gọi vốn của các dự án tiền điện tử được đảm bảo bởi sàn giao dịch
370,IPFS (InterPlanetary File System), Một giao thức để lưu trữ và truy cập nội dung phân tán.
371,IPO (Initial Public Offering), Hoạt động của các công ty lần đâu tiên mở bán cổ phiếu của mình ra công chúng
372,Impermanent Loss, Thuật ngữ chỉ khi nhà cung cấp thanh khoản bị mất tiền tạm thời do sự biến động trong một cặp giao dịch.
373,Internet of Things (IoT)," Một mạng lưới thiết bị, cảm biến và phần mềm được kết nối với nhau toàn cầu có thể thu thập và trao đổi dữ liệu với nhau theo thời gian thực qua Internet."
374,Invest, Chỉ hành động bạn bỏ tiền vào một kế hoạch tài chính với mục đích kiếm lời.
375,KYC (Know Your Customer), Một quy trình tiêu chuẩn trong ngành tài chính cho phép các công ty xác định danh tính khách hàng của họ và tuân thủ AML.
376,Keylogger," Một chức năng ghi lại hoặc tổ hợp phím trên máy tính. Trong tay tội phạm mạng, keylogger là một công cụ để lấy cắp thông tin của bạn."
377,Large Cap, Các dự án và tổ chức được thành lập có vốn hóa thị trường từ 10 tỷ đô la trở lên
378,Layer 0," Còn được gọi là Layer truyền dữ liệu, là Layer dưới cùng của mô hình OSI và chủ yếu liên quan đến sự tích hợp giữa blockchain và các mạng truyền thống."
379,Layer 2, Một framework hoặc giao thức được xây dựng trên blockchain hiện có để cung cấp khả năng mở rộng
380,Layer-1 Blockchain, Một tập hợp các giải pháp cải thiện chính giao thức cơ sở.
381,Lightning Network," Một layer 2 hoạt động trên blockchain hiện có, cho phép tăng tốc độ giao dịch giữa các nút tham gia."
382,Limit Order/Limit Buy/Limit Sell, Các công cụ cho phép các nhà giao dịch tự động mua hoặc bán tiền điện tử trên nền tảng giao dịch khi đạt được một mục tiêu giá nhất định.
383,Limit order, Một loại lệnh để mua hoặc bán một tiền điện tử ở một mức giá cụ thể hoặc một mức giá tốt hơn.
384,Liquidation," Thanh lý đề cập đến việc chuyển đổi của một tài sản hoặc cryptocurrency cho fiat hoặc tương đương của nó như Tether (USDT) và khác stablecoin. Trong ngành công nghiệp tiền điện tử, Forced Liquidation hay thanh lý bắt buộc xảy ra với giao dịch ký quỹ trong đó vị thế của nhà giao dịch tự động đóng khi họ không duy trì được nhu cầu của vị thế đòn bẩy."
385,Liquidity, Khả năng bán hoặc mua bất kỳ tài sản nhất định nào mà không gây ra biến động đáng kể về giá thị trường của tài sản đó.
386,Liquidity Bootstrapping Pool (LBP), Một Smart Pool với chức năng thay đổi tỷ trọng các token trong Pool theo thời gian đã được định sẵn.
387,Liquidity Mining, Một cơ chế hoặc quy trình trong đó những người tham gia cung cấp tiền điện tử vào các nhóm thanh khoản (Liquidity pool) và được thưởng bằng phí và token dựa trên phần của họ.
388,Liquidity Pool, Các tài sản tiền điện tử được lưu giữ để tạo điều kiện thuận lợi cho việc giao dịch các cặp giao dịch trên các sàn giao dịch phi tập trung.
389,Liquidity Provider, Những người dùng trao đổi phi tập trung tài trợ cho nhóm thanh khoản (Liquidity pool) bằng các token mà họ sở hữu.
390,Long, Một tình huống trong đó bạn mua tiền điện tử với kỳ vọng bán nó với giá cao hơn để thu lợi nhuận sau này.
391,Low Cap, Các dự án và tổ chức được thành lập có vốn hóa thị trường dưới 50 triệu đô la.
392,Mainnet, Một blockchain hoàn chỉnh được khởi chạy sau giai đoạn testnet.
393,Margin Trading, Một hình thức giao dịch với vốn vay hay còn gọi là giao dịch ký quỹ.
394,Market," Một khu vực hoặc đấu trường, trực tuyến hoặc ngoại tuyến, trong đó các giao dịch thương mại được thực hiện."
395,Market Maker, Nhà giao dịch đặt lệnh giới hạn lên thị trường. Market Maker cung cấp tính thanh khoản và độ sâu cho thị trường và thu lợi nhuận từ chênh lệch giá trong việc thực hiện mua bán.
396,Market Taker, Những người tham gia thị trường trong giao dịch tìm kiếm thanh khoản ngay lập tức để thực hiện giao dịch và vị thế của họ. Tức là người đi khớp lệnh từ sổ lệnh được Market Maker đã tạo.
397,Market cap (Market Capitalization), Tổng giá trị giao dịch của một loại tiền điện tử nhất định – được tính bằng: số cung của đồng tiền đó * giá hiện tại.
398,Masternode, Các node trên mạng thường yêu cầu stake số lượng tối thiểu của một coin nhất định được để nhận phần thưởng staking.
399,Max Supply, Số lượng đồng coin mà một dự án phát hành tối đa.
400,Maximum Supply, Số lượng coin hoặc token sẽ được tạo ra tối đa cho một loại tiền điện tử nhất định.
401,Memecoin, Một loại tiền điện tử có nguồn gốc từ một meme trên Internet hoặc có một số đặc điểm hài hước khác.
402,Metaverse, Một vũ trụ kỹ thuật số chứa tất cả các khía cạnh của thế giới thực.
403,Mid Cap, Các dự án và tổ chức được thành lập có vốn hóa thị trường từ 1 tỷ đô la đến 10 tỷ đô la.
404,Miner, Những người đóng góp vào một chuỗi khối tham gia vào quá trình khai thác.
405,Mining, Là quá trình xác minh các giao dịch trên mạng lưới blockchain.
406,Mining Pool, Một sự sắp xếp trong đó một số thợ đào (miner) tổng hợp tài nguyên của họ để tăng cơ hội tìm thấy khối tiếp theo.
407,Mining Reward, Thu nhập mà các thợ đào nhận được sau khi tìm và xác thực một khối.
408,Money Flow Index (MFI), Chỉ số dòng tiền là một chỉ báo kỹ thuật đo lường áp lực mua hoặc bán của một tài sản thông qua giá và khối lượng.
409,Moon, Một từ diễn tả xu hướng tăng giá của tài sản mã hóa hoặc các loại tài sản khác.
410,Moving Average (MA), Đường trung bình động (MA) là một chỉ báo kỹ thuật phản ứng với xu hướng của thị trường tài chính và được các chuyên gia thị trường sử dụng để dự đoán hướng xu hướng của tài sản.
411,Multi-chain," Đề cập đến đa chuỗi hay đa nền tảng. Nếu một dự án được triển khai trên multichain nghĩa là dự án đang triển khai trên hai hoặc nhiều chuỗi Ethereum, BSC, hay các blockchain nào khác."
412,Multisignature, Một lớp bảo mật bổ sung bằng cách yêu cầu nhiều hơn một khóa để cho phép một giao dịch.
413,NF, Một loại mã thông báo đại diện cho một tài sản kỹ thuật số hoặc tài sản ở thế giới thực. Mã thông báo này là độc nhất và không thể hoán đổi cho nhau.
414,Node, Một người tham gia trên mạng blockchain giao tiếp với những người tham gia khác để đảm bảo tính bảo mật và tính toàn vẹn của hệ thống.
415,Non-Custodial," Thông thường đề cập đến việc lưu trữ khóa. Nó liên quan đến ví hoặc sàn giao dịch. Đây là một thiết lập trong đó private key được người dùng trực tiếp nắm giữ. Không một ai kể cả nhà cung cấp ví được quyền truy cập, đóng băng hay giao dịch tài sản của chủ sở hữu ví."
416,OTC," Giao dịch được thực hiện bên ngoài sàn giao dịch, thường là ngang hàng thông qua các giao dịch tư nhân."
417,Off-chain," Các giao dịch xảy ra ngoài một mạng blockchain nhất định, sau này có thể được báo cáo hoặc theo nhóm với nhau trước khi được gửi đến chuỗi chính."
418,On-chain, Các giao dịch được ghi lại trên chính blockchain và được hiển thị cho tất cả các nút (node) trên mạng blockchain.
419,Open-source," Đề cập việc những người tham gia vào những thông tin được phát hành miễn phí àm người dùng có thể sửa đổi hoặc thêm một số cập nhật, tính năng vượt trội khác để nhằm theo đuổi lợi ích chung lớn hơn."
420,Opensea, Một nền tảng P2P phi tập trung cho giao dịch NFT.
